Date,Open,High,Low,Close
01/19/2022,"42,401","42,604","41,200","41,739"
01/18/2022,"41,741","42,476","41,319","42,401"
01/17/2022,"43,011","43,275","41,632","41,741"
01/16/2022,"43,332","43,472","42,622","43,011"
01/15/2022,"43,329","43,775","42,620","43,346"
01/14/2022,"42,826","43,411","41,865","43,329"
01/13/2022,"43,815","44,401","42,354","42,826"
01/12/2022,"42,686","44,303","42,498","43,815"
01/11/2022,"41,705","43,109","41,304","42,686"
01/10/2022,"42,314","42,484","39,712","41,705"
01/09/2022,"41,786","42,771","41,285","42,334"
01/08/2022,"41,884","42,206","40,614","41,786"
01/07/2022,"43,114","43,233","40,769","41,908"
01/06/2022,"43,658","43,764","42,529","43,114"
01/05/2022,"46,298","46,851","43,522","43,658"
01/04/2022,"46,055","47,490","45,586","46,298"
01/03/2022,"47,026","47,544","45,745","46,055"
01/02/2022,"47,312","47,946","46,709","47,021"
01/01/2022,"46,338","47,912","46,196","47,312"
12/31/2021,"47,239","48,564","45,715","46,322"
12/30/2021,"47,233","47,893","46,019","47,239"
12/29/2021,"47,586","48,152","46,664","47,210"
12/28/2021,"50,990","51,228","47,330","47,586"
12/27/2021,"50,802","51,976","50,487","50,996"
12/26/2021,"51,003","51,003","49,568","50,802"
12/25/2021,"50,898","51,144","50,220","51,001"
12/24/2021,"50,849","51,836","50,513","50,898"
12/23/2021,"49,082","51,364","48,077","50,843"
12/22/2021,"49,103","49,557","48,477","49,082"
12/21/2021,"47,013","49,318","46,676","49,059"
12/20/2021,"46,741","47,524","45,581","47,013"
12/19/2021,"46,941","48,285","46,468","46,741"
12/18/2021,"46,946","47,335","45,557","46,941"
12/17/2021,"48,139","48,163","45,539","46,946"
12/16/2021,"49,221","49,398","47,715","48,139"
12/15/2021,"48,280","49,495","46,631","49,221"
12/14/2021,"46,892","48,639","46,378","48,280"
12/13/2021,"49,981","50,380","45,871","46,892"
12/12/2021,"48,847","50,767","48,672","49,981"
12/11/2021,"47,984","49,285","46,880","48,847"
12/10/2021,"47,996","49,982","47,355","47,984"
12/09/2021,"50,634","50,851","47,377","47,996"
12/08/2021,"50,500","51,182","48,750","50,634"
12/07/2021,"50,126","51,942","50,126","50,500"
12/06/2021,"49,275","50,426","47,290","50,007"
12/05/2021,"48,770","49,746","47,892","49,275"
12/04/2021,"53,648","53,874","42,169","48,745"
12/03/2021,"56,904","57,464","52,653","53,672"
12/02/2021,"57,026","57,362","55,859","56,904"
12/01/2021,"57,144","59,093","56,547","57,026"
11/30/2021,"58,266","59,146","55,932","57,144"
11/29/2021,"56,281","58,878","56,104","58,266"
11/28/2021,"54,601","56,402","53,578","56,281"
11/27/2021,"54,101","55,339","53,605","54,601"
11/26/2021,"58,834","59,342","53,577","54,101"
11/25/2021,"57,334","59,399","56,918","58,834"
11/24/2021,"57,696","57,755","55,928","57,334"
11/23/2021,"56,278","57,847","55,537","57,696"
11/22/2021,"59,568","59,574","55,706","56,278"
11/21/2021,"59,682","60,044","58,630","59,568"
11/20/2021,"57,924","59,725","57,570","59,682"
11/19/2021,"57,606","58,396","55,688","57,924"
